jurisdiccion,organismo,dominio,dataset,tipo_recurso,estado,licencia,acceso_anonimo,descarga,wms,wfs,wcs,api,productor,fecha_version,metadatos,evidencia,ultima_revision,brecha_pendiente,observaciones
Córdoba,IDECOR,Infraestructura geoespacial,Mapas Córdoba / IDECOR,portal,VERDE-PORTAL,pendiente por recurso,sí,sí,sí,sí,sí,por auditar,IDECOR,dinámica,sí,Geoportal y documentación institucional,2026-07-28,Auditar licencia y vigencia por capa,Infraestructura principal de descubrimiento
Córdoba,IDECOR,Infraestructura geoespacial,Endpoint WFS IDECOR,geoservicio,VERDE-DATO CONDICIONAL,por confirmar por capa,sí,sí,no,sí,no,no,IDECOR,dinámica,parcial,https://idecor-ws.mapascordoba.gob.ar/geoserver/idecor/wfs,2026-07-28,Inventariar GetCapabilities y licencia por capa,No promover automáticamente todas las capas
Córdoba,Ministerio de Salud,Salud,Centros de Salud Públicos,dataset,VERDE-DATO CONDICIONAL,por confirmar,sí,sí,sí,sí,por auditar,por auditar,Ministerio de Salud / DGIS e IDECOR,edición inicial 2020,sí,Mapa y geoservicios oficiales,2026-07-28,Verificar versión vigente y actualización,No representa capacidad operativa en tiempo real
Córdoba,Gestión de Riesgos / Manejo del Fuego,Incendios,Áreas afectadas por incendios 2021-2026,dataset,VERDE-DATO CONDICIONAL,por confirmar,sí,sí,sí,sí,por auditar,por auditar,Provincia de Córdoba / IDECOR,series anuales,sí,Mapas y descargas oficiales,2026-07-28,Conservar licencia método y fecha por edición,Perímetros postevento
Córdoba,OHMC,Meteorología,FWI FFMC e ISI,dataset,VERDE-DATO CONDICIONAL,por confirmar,sí,sí,por auditar,por auditar,por auditar,por auditar,OHMC / Gestión de Riesgos / IDECOR,diaria,parcial,Mapas públicos provinciales,2026-07-28,Cerrar endpoints archivo histórico y licencia,Índices derivados no observación operativa
Córdoba,APRHI,Hidrología,Series de estaciones niveles caudales y embalses,dataset,AMARILLO,por confirmar,por auditar,por auditar,por auditar,por auditar,por auditar,por auditar,APRHI,por auditar,por auditar,Autoridad temática identificada,2026-07-28,Localizar histórico API archivos unidades y control de calidad,Pendiente ronda específica
Córdoba,Dirección Provincial de Vialidad,Transporte,Rutas puentes alcantarillas y transitabilidad,dataset,PENDIENTE,por auditar,por auditar,por auditar,por auditar,por auditar,por auditar,por auditar,Vialidad Provincial,por auditar,por auditar,Organismo identificado,2026-07-28,Auditoría integral pendiente,Separar inventario físico de estado operativo
Córdoba,Ministerio de Ambiente y Economía Circular,Ambiente,Áreas Naturales Protegidas y Regiones Naturales,dataset,VERDE-DATO CONDICIONAL,por confirmar,sí,sí,sí,sí,por auditar,por auditar,Ministerio de Ambiente / IDECOR,actualización 2025,sí,Mapa y publicación oficial,2026-07-28,Conservar norma límites fecha y versión,Incluye distintas categorías de protección
Córdoba,Autoridad ambiental provincial,Bosques,Ordenamiento Territorial de Bosques Nativos,dataset,AMARILLO,por confirmar,por auditar,por auditar,por auditar,por auditar,por auditar,por auditar,Provincia de Córdoba,por auditar,por auditar,Competencia institucional identificada,2026-07-28,Localizar capa vigente norma categorías y licencia,Pendiente auditoría plena
Córdoba,Catastro / IDECOR,Gobiernos locales,Radios municipales y comunales,dataset,VERDE-DATO CONDICIONAL,por confirmar,sí,sí,sí,sí,por auditar,por auditar,Catastro / IDECOR,dinámica,sí,Cartografía oficial provincial,2026-07-28,Congelar versión y evidencia jurídica,Universo maestro de 427 localidades
Córdoba,IDECOR Ciudades,Gobiernos locales,Mapas territoriales locales,portal,VERDE-PORTAL,pendiente por producto,sí,sí,sí,sí,por auditar,por auditar,IDECOR y gobiernos locales,dinámica,sí,Programa y publicaciones institucionales,2026-07-28,Auditar cada localidad y producto,No mezclar cifras de años distintos
Córdoba,UNC / CONICET / INTA / INA-CIRSA / Instituto Gulich,Ciencia abierta,Repositorios y datasets científicos,dataset,PENDIENTE,por auditar,por auditar,por auditar,por auditar,por auditar,por auditar,por auditar,Instituciones científico-tecnológicas,por auditar,por auditar,Instituciones identificadas,2026-07-28,Auditar repositorios datasets licencias y formatos,No confundir publicaciones con datasets abiertos
Córdoba,Provincia de Córdoba / autoridad de aplicación,Manejo del fuego,Ley Provincial 8751 - normas y procedimientos para el manejo del fuego,protocolo_normativo,AMARILLO-CONOCIMIENTO,normativa pública,sí,sí,no,no,no,no,Legislatura de Córdoba / autoridad provincial,vigente,sí,https://www.argentina.gob.ar/normativa/provincial/ley-8751-123456789-0abc-defg-157-8000ovorpyel/actualizacion,2026-07-30,Estructurar artículos en reglas auditables,Fuente normativa; no es dato operativo ni dataset
Córdoba,Sistema Federal / Servicio Nacional de Manejo del Fuego,Manejo del fuego,Ley Nacional 26815 - Sistema Federal de Manejo del Fuego,protocolo_normativo,AMARILLO-CONOCIMIENTO,normativa pública,sí,sí,no,no,no,no,Congreso de la Nación / SNMF,vigente,sí,https://www.argentina.gob.ar/normativa/nacional/207401/actualizacion,2026-07-30,Modelar niveles de intervención y comando unificado,Base legal nacional aplicable a prevención presupresión combate y coordinación
Córdoba,Servicio Nacional de Manejo del Fuego,Manejo del fuego,Niveles de actuación 1 2 y 3,protocolo_operativo,AMARILLO-CONOCIMIENTO,contenido público,sí,no,no,no,no,no,SNMF,dinámica,sí,https://www.argentina.gob.ar/ambiente/fuego/niveles-actuacion,2026-07-30,Transformar criterios de escalamiento en reglas,Define ataque inicial apoyo regional y actuación extrarregional
Córdoba,Servicio Nacional de Manejo del Fuego,Manejo del fuego,Descripción institucional y productos de apoyo a la decisión,protocolo_operativo,AMARILLO-CONOCIMIENTO,contenido público,sí,no,no,no,no,no,SNMF,dinámica,sí,https://www.argentina.gob.ar/servicio-nacional-de-manejo-del-fuego/que-es-y-como-funciona-el-servicio-nacional-de-manejo-del-fuego,2026-07-30,Inventariar reportes alertas y productos técnicos reutilizables,Incluye prevención alerta combate e información anticipada
Córdoba,Federación de Bomberos Voluntarios de Córdoba,Respuesta operativa,Capacitación y especialización en incendios forestales,protocolo_formativo,AMARILLO-CONOCIMIENTO,contenido público,sí,no,no,no,no,no,Federación de Bomberos Voluntarios de Córdoba,dinámica,parcial,https://www.bomberoscordoba.com.ar/capacitacion/estructura-educativa.php,2026-07-30,Localizar programas manuales y contenidos públicos completos,La página acredita formación pero no expone un protocolo operativo completo
Córdoba,Sistema Nacional de Manejo del Fuego,Manejo del fuego,Estándar Nacional de Funciones en Estructuras de Combate,protocolo_operativo,AMARILLO-CONOCIMIENTO,normativa pública,sí,sí,no,no,no,no,Secretaría de Ambiente / Plan Nacional de Manejo del Fuego,2002,sí,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-1437-2002-80923,2026-07-30,Obtener y estructurar el documento técnico aprobado,Referencia formal para roles y funciones de combate
Córdoba,ETAC,Respuesta operativa,Protocolos y manuales específicos de incendios forestales,protocolo_operativo,PENDIENTE-VERIFICACION,por verificar,por auditar,por auditar,no,no,no,no,ETAC,por auditar,no,No se localizó fuente oficial abierta verificable,2026-07-30,Obtener documento oficial o enlace institucional estable,No incorporar copias de terceros como evidencia primaria
Córdoba,DUAR,Rescate y evacuación,Protocolos de actuación aplicables a incendios de interfase,protocolo_operativo,PENDIENTE-VERIFICACION,por verificar,por auditar,por auditar,no,no,no,no,Policía de Córdoba / DUAR,por auditar,no,No se localizó protocolo oficial abierto verificable,2026-07-30,Localizar normativa manual o procedimiento institucional,No asumir reglas operativas sin fuente primaria
