regla_id,fase,categoria,disparador,datos_necesarios,salida_permitida,organismo_referencia,nivel_evidencia,fuente,limitacion,estado
INC-001,prevencion,peligro meteorologico,FWI provincial en nivel alto o superior,FWI vigente y fecha,Elevar vigilancia y preparación preventiva; mostrar peligro y factores asociados,Gestión de Riesgo / OHMC / IDECOR,E3,https://www.idecor.gob.ar/nueva-version-del-mapa-diario-de-indice-de-riesgo-de-incendio/,El FWI no expresa probabilidad de ignición,VALIDADA
INC-002,prevencion,riesgo territorial,Área dentro de cartografía de riesgo local alto o medio,Mapa de riesgo local vigente y ubicación,Priorizar análisis de exposición y prevención territorial,Gestión de Riesgo / IDECOR,E3,https://www.idecor.gob.ar/mapas/mapa-de-riesgo-local-para-incendios-forestales/,No extrapolar fuera del área estudiada,VALIDADA
INC-003,prevencion,vulnerabilidad,Interfase urbano-forestal o población próxima,Urbanización cobertura riesgo local y población,Elevar prioridad socioambiental y revisar accesos y evacuación preventiva,Gestión de Riesgo / municipio,E3,https://www.idecor.gob.ar/utilidad-del-mapa-de-riesgo-de-incendio-local/,No constituye orden de evacuación,VALIDADA
INC-004,respuesta,escalamiento,Capacidad jurisdiccional comprometida o agotada,Recursos locales declarados estado del incidente y autoridad competente,Recomendar evaluar solicitud de apoyo regional conforme Ley 26.815,Autoridad competente / SNMF,E1,https://www.argentina.gob.ar/ambiente/fuego/niveles-actuacion,El sistema no activa Nivel II,VALIDADA
INC-005,respuesta,escalamiento,Magnitud duración complejidad o múltiples incidentes superan capacidad regional,Estado del incidente recursos regionales y autoridad competente,Recomendar evaluar solicitud de apoyo extrarregional o nacional,Autoridad competente / Coordinación Regional / SNMF,E1,https://www.argentina.gob.ar/ambiente/fuego/niveles-actuacion,El sistema no activa Nivel III,VALIDADA
INC-006,respuesta,comando,Intervención concurrente de múltiples organismos,Organismos participantes y estructura de comando,Advertir necesidad de coordinación formal y evaluar Comando Unificado,Autoridad competente,E1,https://www.argentina.gob.ar/normativa/nacional/207401/actualizacion,No sustituye la conducción del incidente,VALIDADA
INC-007,respuesta,seguridad operativa,Trabajo de cuadrillas en línea de fuego,Información declarada por autoridad operativa,Recordar prioridad de seguridad vías de escape comunicaciones y supervisión dentro de protocolos aplicables,Jefatura operativa,E2,https://www.argentina.gob.ar/normativa/nacional/resoluci%C3%B3n-1437-2002-80923/texto,No genera instrucciones tácticas detalladas,VALIDADA
INC-008,respuesta,proteccion poblacion,Incendio próximo a población o infraestructura sensible,Perímetro o ubicación población caminos centros de salud y observaciones,Elevar prioridad; mostrar exposición accesos centros de salud y datos faltantes,Protección Civil / municipio / Bomberos,E3,https://www.idecor.gob.ar/utilidad-del-mapa-de-riesgo-de-incendio-local/,No ordena evacuación,VALIDADA
INC-009,respuesta,evacuacion,Autoridad informa necesidad posible de evacuación,Ubicación población accesos rutas alternativas humo y observaciones,Recomendar evaluar evacuación y seguir instrucciones de autoridad competente,Protección Civil / autoridad competente,E2,https://www.argentina.gob.ar/servicio-nacional-de-manejo-del-fuego/recomendaciones-para-prevenir-incendios-forestales,No automatizar orden ni ruta sin validación local,VALIDADA
INC-010,respuesta,ambiente,Incendio intersecta bosque nativo área protegida humedal o ecosistema sensible,Perímetro o ubicación capas ambientales vigentes,Elevar prioridad ambiental y activar bloque post-incendio,Ambiente / Gestión de Riesgo,E1,https://www.argentina.gob.ar/normativa/nacional/207401/actualizacion,La intersección geográfica debe verificarse,VALIDADA
INC-011,respuesta,agua,Incendio afecta cuenca o proximidad a captación o embalse,Perímetro cuencas cursos de agua captaciones si son públicas,Marcar riesgo potencial sobre agua y preparar monitoreo post-incendio,APRHI / prestador / ambiente,E4,https://www.usgs.gov/programs/landslide-hazards/science/postfire-monitoring-and-data-collection,Requiere adaptación al contexto local,VALIDADA-COMO-EVIDENCIA
INC-012,postincendio,cuenca,Área quemada conectada a cuenca con elementos expuestos aguas abajo,Área quemada pendiente cuenca población infraestructura y lluvia,Generar alerta de evaluación hidrológica post-incendio,APRHI / Gestión de Riesgo,E4,https://www.usgs.gov/data/post-wildfire-debris-flow-hazard-assessment-pwfdf-collection,Regla cualitativa hasta validar modelo para Córdoba,VALIDADA-COMO-EVIDENCIA
INC-013,postincendio,remocion en masa,Área quemada en pendientes fuertes y precipitación pronosticada,Severidad o área quemada pendiente lluvia cauces y exposición,Recomendar evaluación específica de flujos de detritos o remoción en masa,Gestión de Riesgo / geología / APRHI,E4,https://www.usgs.gov/programs/landslide-hazards/science/postfire-debris-flow-hazard-assessment-data,No usar umbrales USGS directamente en Córdoba sin calibración,VALIDADA-COMO-EVIDENCIA
INC-014,postincendio,restauracion,Área natural quemada,Área quemada cobertura previa severidad si existe bosque nativo y protección,Recomendar diagnóstico de regeneración natural antes de definir intervención,Ambiente,E1,https://www.argentina.gob.ar/normativa/nacional/207401/actualizacion,Restauración no equivale automáticamente a reforestación,VALIDADA
INC-015,postincendio,cambio de uso,Superficie incendiada alcanzada por Ley 26.815 modificada por Ley 27.604,Cobertura previa categoría territorial fecha de extinción,Advertir restricciones legales de cambio de uso y necesidad de verificar alcance normativo,Autoridad ambiental,E1,https://www.argentina.gob.ar/normativa/nacional/207401/actualizacion,La plataforma no realiza dictamen jurídico,VALIDADA
INC-016,postincendio,recomposicion,Daño ambiental por incendio,Área afectada ecosistemas y responsable solo si existe determinación oficial,Advertir obligación legal de recomposición y reparación cuando corresponda,Autoridad ambiental / justicia,E1,https://www.argentina.gob.ar/normativa/nacional/207401/actualizacion,No atribuir responsabilidad sin acto competente,VALIDADA
INC-017,postincendio,monitoreo,Incendio finalizado con área quemada identificada,Polígono área quemada fecha cobertura afectada,Crear ficha de monitoreo post-incendio y comparar evolución temporal,Gestión de Riesgo / Ambiente / IDECOR,E3,https://www.idecor.gob.ar/incendios-forestales-y-rurales-en-2025-los-datos-oficiales-del-mapeo-provincial/,El polígono quemado no representa severidad por sí solo,VALIDADA
INC-018,analisis,antecedentes,Evento actual comparable con incendios históricos,Área quemada fecha cobertura clima cuenca jurisdicción,Mostrar antecedentes similares como contexto y no como orden operativa,Mesa Técnica de Áreas Quemadas,E3,https://www.idecor.gob.ar/mapas-de-areas-quemadas/,La similitud requiere método explícito y validado,VALIDADA
INC-019,analisis,calidad de datos,Faltan variables críticas o fuentes desactualizadas,Fecha metadatos cobertura resolución y estado de conectores,Bajar confianza del análisis y mostrar datos faltantes,Sistema, E3,https://www.idecor.gob.ar/incendios-forestales-y-rurales-en-2025-los-datos-oficiales-del-mapeo-provincial/,Nunca ocultar incertidumbre,VALIDADA
INC-020,analisis,decision estructurada,Incidente complejo con múltiples objetivos y riesgos,Variables de amenaza exposición vulnerabilidad capacidad y objetivos,Comparar alternativas y explicitar riesgos beneficios costos y tradeoffs,Autoridad decisora,E4,https://research.fs.usda.gov/treesearch/43638,Marco conceptual internacional a adaptar a Argentina,VALIDADA-COMO-ANTECEDENTE
INC-021,analisis,decision estrategica,Incidente de alta complejidad,Datos del incidente objetivos valores en riesgo y recursos,Presentar evidencia y alternativas de manera estructurada y documentar racional de decisión,Autoridad decisora,E4,https://research.fs.usda.gov/treesearch/63429,No copiar procedimientos federales de EEUU,VALIDADA-COMO-ANTECEDENTE
